,start,end,chr,karyo_band,chr_arm,numeric_chr,cytoband,geneID,geneIDversion
SLC7A11,139085251.0,139163503.0,4,4q28.3,4q,4,q28.3,ENSG00000151012,ENSG00000151012.9
LINC00498,139220010.0,139233812.0,4,4q28.3,4q,4,q28.3,ENSG00000248397,ENSG00000248397.1
LINC00499,139230865.0,139345498.0,4,4q28.3,4q,4,q28.3,ENSG00000251372,ENSG00000251372.1
LINC00500,139346677.0,139358023.0,4,4q28.3,4q,4,q28.3,ENSG00000249381,ENSG00000249381.1
CCRN4L,139936943.0,139966906.0,4,4q31.1,4q,4,q31.1,ENSG00000151014,ENSG00000151014.4
ELF2,139949266.0,140098372.0,4,4q31.1,4q,4,q31.1,ENSG00000109381,ENSG00000109381.15
RN7SL382P,140021531.0,140021810.0,4,4q31.1,4q,4,q31.1,ENSG00000240723,ENSG00000240723.2
RN7SL311P,140106595.0,140106897.0,4,4q31.1,4q,4,q31.1,ENSG00000265892,ENSG00000265892.1
MGARP,140187317.0,140201492.0,4,4q31.1,4q,4,q31.1,ENSG00000137463,ENSG00000137463.4
NDUFC1,140188034.0,140223705.0,4,4q31.1,4q,4,q31.1,ENSG00000109390,ENSG00000109390.7
NAA15,140222609.0,140341187.0,4,4q31.1,4q,4,q31.1,ENSG00000164134,ENSG00000164134.8
ACA64|ENSG00000239005.1,140357522.0,140357648.0,4,4q31.1,4q,4,q31.1,ENSG00000239005,ENSG00000239005.1
RAB33B,140374386.0,140397763.0,4,4q31.1,4q,4,q31.1,ENSG00000172007,ENSG00000172007.5
SETD7,140417095.0,140527853.0,4,4q31.1,4q,4,q31.1,ENSG00000145391,ENSG00000145391.9
MGST2,140586922.0,140661899.0,4,4q31.1,4q,4,q31.1,ENSG00000085871,ENSG00000085871.4
RN7SKP237,140606281.0,140606581.0,4,4q31.1,4q,4,q31.1,ENSG00000201533,ENSG00000201533.1
MAML3,140637907.0,141075338.0,4,4q31.1,4q,4,q31.1,ENSG00000196782,ENSG00000196782.8
RN7SKP253,140715279.0,140715587.0,4,4q31.1,4q,4,q31.1,ENSG00000252233,ENSG00000252233.1
SCOC,141178440.0,141306880.0,4,4q31.1,4q,4,q31.1,ENSG00000153130,ENSG00000153130.13
SNORD112|ENSG00000252300.1,141196195.0,141196266.0,4,4q31.1,4q,4,q31.1,ENSG00000252300,ENSG00000252300.1
CLGN,141309609.0,141349122.0,4,4q31.1,4q,4,q31.1,ENSG00000153132,ENSG00000153132.8
ELMOD2,141445312.0,141474924.0,4,4q31.1,4q,4,q31.1,ENSG00000179387,ENSG00000179387.5
UCP1,141480588.0,141489959.0,4,4q31.1,4q,4,q31.1,ENSG00000109424,ENSG00000109424.3
RN7SL152P,141499079.0,141499374.0,4,4q31.1,4q,4,q31.1,ENSG00000242102,ENSG00000242102.2
TBC1D9,141541919.0,141677274.0,4,4q31.21,4q,4,q31.21,ENSG00000109436,ENSG00000109436.7
RNF150,141780961.0,142134031.0,4,4q31.21,4q,4,q31.21,ENSG00000170153,ENSG00000170153.6
ZNF330,142142041.0,142155851.0,4,4q31.21,4q,4,q31.21,ENSG00000109445,ENSG00000109445.6
snoU13|ENSG00000238695.1,142218928.0,142219032.0,4,4q31.21,4q,4,q31.21,ENSG00000238695,ENSG00000238695.1
IL15,142557752.0,142655140.0,4,4q31.21,4q,4,q31.21,ENSG00000164136,ENSG00000164136.12
INPP4B,142944313.0,143768585.0,4,4q31.21,4q,4,q31.21,ENSG00000109452,ENSG00000109452.8
USP38,144106070.0,144144983.0,4,4q31.21,4q,4,q31.21,ENSG00000170185,ENSG00000170185.5
GAB1,144257915.0,144395721.0,4,4q31.21,4q,4,q31.21,ENSG00000109458,ENSG00000109458.4
MIR3139,144264613.0,144264688.0,4,4q31.21,4q,4,q31.21,ENSG00000265623,ENSG00000265623.1
SMARCA5,144434616.0,144478639.0,4,4q31.21,4q,4,q31.21,ENSG00000153147,ENSG00000153147.5
GUSBP5,144480625.0,144570458.0,4,4q31.21,4q,4,q31.21,ENSG00000236296,ENSG00000236296.3
FREM3,144498455.0,144621828.0,4,4q31.21,4q,4,q31.21,ENSG00000183090,ENSG00000183090.5
GYPA,145030457.0,145061904.0,4,4q31.21,4q,4,q31.21,ENSG00000170180,ENSG00000170180.15
GYPB,144917257.0,145061844.0,4,4q31.21,4q,4,q31.21,ENSG00000250361,ENSG00000250361.2
GYPE,144792020.0,144826716.0,4,4q31.21,4q,4,q31.21,ENSG00000197465,ENSG00000197465.9
HHIP,145567173.0,145666423.0,4,4q31.21,4q,4,q31.21,ENSG00000164161,ENSG00000164161.5
ANAPC10,145888264.0,146019693.0,4,4q31.21,4q,4,q31.21,ENSG00000164162,ENSG00000164162.8
RN7SKP235,145956284.0,145956588.0,4,4q31.21,4q,4,q31.21,ENSG00000222594,ENSG00000222594.1
ABCE1,146019084.0,146050331.0,4,4q31.21,4q,4,q31.21,ENSG00000164163,ENSG00000164163.6
OTUD4,146031990.0,146101313.0,4,4q31.21,4q,4,q31.21,ENSG00000164164,ENSG00000164164.11
SMAD1,146402346.0,146479231.0,4,4q31.21,4q,4,q31.21,ENSG00000170365,ENSG00000170365.5
MMAA,146539415.0,146581187.0,4,4q31.21,4q,4,q31.21,ENSG00000151611,ENSG00000151611.9
C4orf51,146601356.0,146692184.0,4,4q31.21,4q,4,q31.21,ENSG00000237136,ENSG00000237136.2
ZNF827,146678779.0,146859787.0,4,4q31.22,4q,4,q31.22,ENSG00000151612,ENSG00000151612.11
LSM6,147096837.0,147121152.0,4,4q31.22,4q,4,q31.22,ENSG00000164167,ENSG00000164167.5
SLC10A7,147175127.0,147443123.0,4,4q31.22,4q,4,q31.22,ENSG00000120519,ENSG00000120519.10
POU4F2,147560045.0,147563626.0,4,4q31.22,4q,4,q31.22,ENSG00000151615,ENSG00000151615.3
TTC29,147627790.0,147867034.0,4,4q31.22,4q,4,q31.22,ENSG00000137473,ENSG00000137473.13
MIR548G,148265781.0,148265869.0,4,4q31.22,4q,4,q31.22,ENSG00000221369,ENSG00000221369.1
EDNRA,148402069.0,148466106.0,4,4q31.22,4q,4,q31.22,ENSG00000151617,ENSG00000151617.11
TMEM184C,148538534.0,148593195.0,4,4q31.23,4q,4,q31.23,ENSG00000164168,ENSG00000164168.3
PRMT10,148558936.0,148605381.0,4,4q31.23,4q,4,q31.23,ENSG00000164169,ENSG00000164169.8
ARHGAP10,148653214.0,148993931.0,4,4q31.23,4q,4,q31.23,ENSG00000071205,ENSG00000071205.7
RNA5SP165,148666454.0,148666568.0,4,4q31.23,4q,4,q31.23,ENSG00000252951,ENSG00000252951.1
MIR4799,148703746.0,148703819.0,4,4q31.23,4q,4,q31.23,ENSG00000264274,ENSG00000264274.1
RN7SL254P,148730077.0,148730358.0,4,4q31.23,4q,4,q31.23,ENSG00000240014,ENSG00000240014.2
NR3C2,148999913.0,149365850.0,4,4q31.23,4q,4,q31.23,ENSG00000151623,ENSG00000151623.10
RNA5SP166,149479099.0,149479200.0,4,4q31.23,4q,4,q31.23,ENSG00000201846,ENSG00000201846.1
RNA5SP167,150828712.0,150828827.0,4,4q31.23,4q,4,q31.23,ENSG00000202331,ENSG00000202331.1
DCLK2,150999426.0,151178609.0,4,4q31.23,4q,4,q31.23,ENSG00000170390,ENSG00000170390.10
LRBA,151185594.0,151936879.0,4,4q31.3,4q,4,q31.3,ENSG00000198589,ENSG00000198589.6
MAB21L2,151503077.0,151505843.0,4,4q31.3,4q,4,q31.3,ENSG00000181541,ENSG00000181541.4
RNA5SP168,151891823.0,151891934.0,4,4q31.3,4q,4,q31.3,ENSG00000252451,ENSG00000252451.1
RPS3A,152020725.0,152025804.0,4,4q31.3,4q,4,q31.3,ENSG00000145425,ENSG00000145425.5
SH3D19,152023903.0,152246784.0,4,4q31.3,4q,4,q31.3,ENSG00000109686,ENSG00000109686.12
SNORD73A,152024979.0,152025043.0,4,4q31.3,4q,4,q31.3,ENSG00000208797,ENSG00000208797.1
SNORD73,152023209.0,152023280.0,4,4q31.3,4q,4,q31.3,ENSG00000201264,ENSG00000201264.1
PRSS48,152198323.0,152212605.0,4,4q31.3,4q,4,q31.3,ENSG00000189099,ENSG00000189099.7
FAM160A1,152330368.0,152584784.0,4,4q31.3,4q,4,q31.3,ENSG00000164142,ENSG00000164142.11
RN7SKP35,152497918.0,152498068.0,4,4q31.3,4q,4,q31.3,ENSG00000253019,ENSG00000253019.1
PET112,152591656.0,152682175.0,4,4q31.3,4q,4,q31.3,ENSG00000059691,ENSG00000059691.7
RNA5SP169,152892649.0,152892765.0,4,4q31.3,4q,4,q31.3,ENSG00000253077,ENSG00000253077.1
RN7SL446P,153185301.0,153185597.0,4,4q31.3,4q,4,q31.3,ENSG00000244544,ENSG00000244544.1
FBXW7,153242410.0,153457253.0,4,4q31.3,4q,4,q31.3,ENSG00000109670,ENSG00000109670.9
MIR3140,153410479.0,153410568.0,4,4q31.3,4q,4,q31.3,ENSG00000264678,ENSG00000264678.1
MIR4453,153457416.0,153460415.0,4,4q31.3,4q,4,q31.3,ENSG00000268471,ENSG00000268471.3
TMEM154,153539784.0,153601317.0,4,4q31.3,4q,4,q31.3,ENSG00000170006,ENSG00000170006.7
TIGD4,153690506.0,153700916.0,4,4q31.3,4q,4,q31.3,ENSG00000169989,ENSG00000169989.2
ARFIP1,153701089.0,153839615.0,4,4q31.3,4q,4,q31.3,ENSG00000164144,ENSG00000164144.10
FHDC1,153857504.0,153900848.0,4,4q31.3,4q,4,q31.3,ENSG00000137460,ENSG00000137460.4
TRIM2,154073494.0,154260472.0,4,4q31.3,4q,4,q31.3,ENSG00000109654,ENSG00000109654.10
MND1,154265801.0,154336270.0,4,4q31.3,4q,4,q31.3,ENSG00000121211,ENSG00000121211.3
RN7SL419P,154302879.0,154303167.0,4,4q31.3,4q,4,q31.3,ENSG00000243883,ENSG00000243883.2
KIAA0922,154387498.0,154557863.0,4,4q31.3,4q,4,q31.3,ENSG00000121210,ENSG00000121210.11
TLR2,154622652.0,154626851.0,4,4q31.3,4q,4,q31.3,ENSG00000137462,ENSG00000137462.6
RNF175,154631277.0,154681387.0,4,4q31.3,4q,4,q31.3,ENSG00000145428,ENSG00000145428.10
SFRP2,154701744.0,154710272.0,4,4q31.3,4q,4,q31.3,ENSG00000145423,ENSG00000145423.4
DCHS2,155153399.0,155412930.0,4,4q31.3,4q,4,q31.3,ENSG00000197410,ENSG00000197410.8
PLRG1,155456158.0,155471587.0,4,4q31.3,4q,4,q31.3,ENSG00000171566,ENSG00000171566.7
FGB,155484108.0,155492238.0,4,4q31.3,4q,4,q31.3,ENSG00000171564,ENSG00000171564.7
FGA,155504278.0,155511918.0,4,4q31.3,4q,4,q31.3,ENSG00000171560,ENSG00000171560.10
FGG,155525286.0,155534119.0,4,4q31.3,4q,4,q31.3,ENSG00000171557,ENSG00000171557.12
LRAT,155548097.0,155674270.0,4,4q31.3,4q,4,q31.3,ENSG00000121207,ENSG00000121207.7
RBM46,155702365.0,155749965.0,4,4q32.1,4q,4,q32.1,ENSG00000151962,ENSG00000151962.3
NPY2R,156129781.0,156138230.0,4,4q32.1,4q,4,q32.1,ENSG00000185149,ENSG00000185149.5
MAP9,156263810.0,156298122.0,4,4q32.1,4q,4,q32.1,ENSG00000164114,ENSG00000164114.14
GUCY1A3,156587863.0,156653501.0,4,4q32.1,4q,4,q32.1,ENSG00000164116,ENSG00000164116.12
GUCY1B3,156680144.0,156728743.0,4,4q32.1,4q,4,q32.1,ENSG00000061918,ENSG00000061918.8
ASIC5,156750881.0,156787425.0,4,4q32.1,4q,4,q32.1,ENSG00000256394,ENSG00000256394.2
TDO2,156775890.0,156841558.0,4,4q32.1,4q,4,q32.1,ENSG00000151790,ENSG00000151790.4
CTSO,156845270.0,156875069.0,4,4q32.1,4q,4,q32.1,ENSG00000256043,ENSG00000256043.2
PDGFC,157681606.0,157892546.0,4,4q32.1,4q,4,q32.1,ENSG00000145431,ENSG00000145431.6
GLRB,157997209.0,158093242.0,4,4q32.1,4q,4,q32.1,ENSG00000109738,ENSG00000109738.6
GRIA2,158125334.0,158287227.0,4,4q32.1,4q,4,q32.1,ENSG00000120251,ENSG00000120251.14
FAM198B,159045626.0,159094470.0,4,4q32.1,4q,4,q32.1,ENSG00000164125,ENSG00000164125.11
TMEM144,159122756.0,159176563.0,4,4q32.1,4q,4,q32.1,ENSG00000164124,ENSG00000164124.6
RXFP1,159236463.0,159574524.0,4,4q32.1,4q,4,q32.1,ENSG00000171509,ENSG00000171509.11
C4orf46,159587831.0,159593407.0,4,4q32.1,4q,4,q32.1,ENSG00000205208,ENSG00000205208.4
ETFDH,159593277.0,159630775.0,4,4q32.1,4q,4,q32.1,ENSG00000171503,ENSG00000171503.7
U3|ENSG00000271817.1,159621843.0,159622060.0,4,4q32.1,4q,4,q32.1,ENSG00000271817,ENSG00000271817.1
PPID,159630286.0,159644548.0,4,4q32.1,4q,4,q32.1,ENSG00000171497,ENSG00000171497.4
FNIP2,159690290.0,159829201.0,4,4q32.1,4q,4,q32.1,ENSG00000052795,ENSG00000052795.8
C4orf45,159814286.0,159959912.0,4,4q32.1,4q,4,q32.1,ENSG00000164123,ENSG00000164123.6
RAPGEF2,160025330.0,160281321.0,4,4q32.1,4q,4,q32.1,ENSG00000109756,ENSG00000109756.4
U3|ENSG00000251979.1,160428047.0,160428180.0,4,4q32.1,4q,4,q32.1,ENSG00000251979,ENSG00000251979.1
FSTL5,162305049.0,163085187.0,4,4q32.2,4q,4,q32.2,ENSG00000168843,ENSG00000168843.9
NAF1,164031225.0,164088073.0,4,4q32.2,4q,4,q32.2,ENSG00000145414,ENSG00000145414.4
NPY1R,164245113.0,164265984.0,4,4q32.2,4q,4,q32.2,ENSG00000164128,ENSG00000164128.2
NPY5R,164265091.0,164273086.0,4,4q32.2,4q,4,q32.2,ENSG00000164129,ENSG00000164129.7
TKTL2,164392257.0,164395047.0,4,4q32.2,4q,4,q32.2,ENSG00000151005,ENSG00000151005.3
TMA16,164415594.0,164441691.0,4,4q32.2,4q,4,q32.2,ENSG00000198498,ENSG00000198498.5
MARCH1,164445450.0,165305202.0,4,4q32.3,4q,4,q32.3,ENSG00000145416,ENSG00000145416.9
RN7SKP105,164749952.0,164750265.0,4,4q32.3,4q,4,q32.3,ENSG00000253001,ENSG00000253001.1
FAM218A,165878100.0,165880273.0,4,4q32.3,4q,4,q32.3,ENSG00000250486,ENSG00000250486.2
TRIM61,165875598.0,165898820.0,4,4q32.3,4q,4,q32.3,ENSG00000183439,ENSG00000183439.5
TRIM60,165953105.0,165962896.0,4,4q32.3,4q,4,q32.3,ENSG00000176979,ENSG00000176979.8
TMEM192,165995574.0,166129701.0,4,4q32.3,4q,4,q32.3,ENSG00000170088,ENSG00000170088.9
KLHL2,166128770.0,166244308.0,4,4q32.3,4q,4,q32.3,ENSG00000109466,ENSG00000109466.9
MSMO1,166248775.0,166264312.0,4,4q32.3,4q,4,q32.3,ENSG00000052802,ENSG00000052802.8
CPE,166282346.0,166419472.0,4,4q32.3,4q,4,q32.3,ENSG00000109472,ENSG00000109472.9
MIR578,166307394.0,166307489.0,4,4q32.3,4q,4,q32.3,ENSG00000207559,ENSG00000207559.1
TLL1,166794410.0,167025047.0,4,4q32.3,4q,4,q32.3,ENSG00000038295,ENSG00000038295.3
RNA5SP170,166974339.0,166974439.0,4,4q32.3,4q,4,q32.3,ENSG00000252959,ENSG00000252959.1
SPOCK3,167654535.0,168155947.0,4,4q32.3,4q,4,q32.3,ENSG00000196104,ENSG00000196104.6
RNA5SP171,167839515.0,167839629.0,4,4q32.3,4q,4,q32.3,ENSG00000212373,ENSG00000212373.1
RN7SL776P,168321648.0,168321905.0,4,4q32.3,4q,4,q32.3,ENSG00000240772,ENSG00000240772.2
RN7SKP188,168584137.0,168584453.0,4,4q32.3,4q,4,q32.3,ENSG00000222721,ENSG00000222721.1
ANXA10,169013666.0,169108841.0,4,4q32.3,4q,4,q32.3,ENSG00000109511,ENSG00000109511.6
DDX60,169137444.0,169239958.0,4,4q32.3,4q,4,q32.3,ENSG00000137628,ENSG00000137628.12
snoU13|ENSG00000238744.1,169231843.0,169231946.0,4,4q32.3,4q,4,q32.3,ENSG00000238744,ENSG00000238744.1
DDX60L,169277886.0,169458937.0,4,4q32.3,4q,4,q32.3,ENSG00000181381,ENSG00000181381.9
SNORA51|ENSG00000207171.1,169392560.0,169392690.0,4,4q32.3,4q,4,q32.3,ENSG00000207171,ENSG00000207171.1
PALLD,169418217.0,169849608.0,4,4q32.3,4q,4,q32.3,ENSG00000129116,ENSG00000129116.13
CBR4,169784921.0,169931426.0,4,4q32.3,4q,4,q32.3,ENSG00000145439,ENSG00000145439.7
RNY4P17,169926400.0,169926495.0,4,4q32.3,4q,4,q32.3,ENSG00000201818,ENSG00000201818.1
SH3RF1,170015407.0,170192256.0,4,4q33,4q,4,q33,ENSG00000154447,ENSG00000154447.10
NEK1,170314426.0,170533780.0,4,4q33,4q,4,q33,ENSG00000137601,ENSG00000137601.11
CLCN3,170533784.0,170644824.0,4,4q33,4q,4,q33,ENSG00000109572,ENSG00000109572.9
C4orf27,170650616.0,170679104.0,4,4q33,4q,4,q33,ENSG00000056050,ENSG00000056050.6
MFAP3L,170907748.0,170954182.0,4,4q33,4q,4,q33,ENSG00000198948,ENSG00000198948.7
AADAT,170981373.0,171012850.0,4,4q33,4q,4,q33,ENSG00000109576,ENSG00000109576.9
HSP90AA6P,171502621.0,171526601.0,4,4q33,4q,4,q33,ENSG00000181359,ENSG00000181359.5
RNU6ATAC13P,171812618.0,171812748.0,4,4q33,4q,4,q33,ENSG00000251961,ENSG00000251961.1
GALNTL6,172733405.0,173962710.0,4,4q34.1,4q,4,q34.1,ENSG00000174473,ENSG00000174473.11
RN7SL253P,174062794.0,174063087.0,4,4q34.1,4q,4,q34.1,ENSG00000241652,ENSG00000241652.2
GALNT7,174089904.0,174245118.0,4,4q34.1,4q,4,q34.1,ENSG00000109586,ENSG00000109586.7
MIR548T,174189311.0,174189384.0,4,4q34.1,4q,4,q34.1,ENSG00000221296,ENSG00000221296.2
HMGB2,174252846.0,174256276.0,4,4q34.1,4q,4,q34.1,ENSG00000164104,ENSG00000164104.7
SAP30,174291120.0,174298683.0,4,4q34.1,4q,4,q34.1,ENSG00000164105,ENSG00000164105.3
SCRG1,174305852.0,174327531.0,4,4q34.1,4q,4,q34.1,ENSG00000164106,ENSG00000164106.3
HAND2,174446120.0,174451380.0,4,4q34.1,4q,4,q34.1,ENSG00000164107,ENSG00000164107.7
FBXO8,175157809.0,175205415.0,4,4q34.1,4q,4,q34.1,ENSG00000164117,ENSG00000164117.8
CEP44,175204828.0,175254531.0,4,4q34.1,4q,4,q34.1,ENSG00000164118,ENSG00000164118.8
MIR4276,175344946.0,175345015.0,4,4q34.1,4q,4,q34.1,ENSG00000265846,ENSG00000265846.1
HPGD,175411328.0,175444305.0,4,4q34.1,4q,4,q34.1,ENSG00000164120,ENSG00000164120.9
GLRA3,175558065.0,175750465.0,4,4q34.1,4q,4,q34.1,ENSG00000145451,ENSG00000145451.8
ADAM29,175750819.0,175899331.0,4,4q34.1,4q,4,q34.1,ENSG00000168594,ENSG00000168594.11
GPM6A,176554085.0,176923815.0,4,4q34.2,4q,4,q34.2,ENSG00000150625,ENSG00000150625.12
WDR17,176986985.0,177103978.0,4,4q34.2,4q,4,q34.2,ENSG00000150627,ENSG00000150627.11
SNORA51|ENSG00000201516.1,177019314.0,177019436.0,4,4q34.2,4q,4,q34.2,ENSG00000201516,ENSG00000201516.1
SPATA4,177105789.0,177116822.0,4,4q34.2,4q,4,q34.2,ENSG00000150628,ENSG00000150628.2
ASB5,177134824.0,177198722.0,4,4q34.2,4q,4,q34.2,ENSG00000164122,ENSG00000164122.4
SPCS3,177241115.0,177253396.0,4,4q34.2,4q,4,q34.2,ENSG00000129128,ENSG00000129128.8
VEGFC,177604689.0,177713881.0,4,4q34.3,4q,4,q34.3,ENSG00000150630,ENSG00000150630.2
RN7SKP136,178102596.0,178102895.0,4,4q34.3,4q,4,q34.3,ENSG00000222859,ENSG00000222859.1
NEIL3,178230990.0,178284097.0,4,4q34.3,4q,4,q34.3,ENSG00000109674,ENSG00000109674.3
AGA,178351924.0,178363657.0,4,4q34.3,4q,4,q34.3,ENSG00000038002,ENSG00000038002.4
RNA5SP172,178378265.0,178378382.0,4,4q34.3,4q,4,q34.3,ENSG00000201931,ENSG00000201931.1
snoU13|ENSG00000252388.1,178752503.0,178752589.0,4,4q34.3,4q,4,q34.3,ENSG00000252388,ENSG00000252388.1
RNA5SP173,179327849.0,179327984.0,4,4q34.3,4q,4,q34.3,ENSG00000201727,ENSG00000201727.1
SNORD65|ENSG00000212191.1,179607040.0,179607110.0,4,4q34.3,4q,4,q34.3,ENSG00000212191,ENSG00000212191.1
LINC00290,181985242.0,182080302.0,4,4q34.3,4q,4,q34.3,ENSG00000248197,ENSG00000248197.1
RN7SKP13,182756018.0,182756261.0,4,4q34.3,4q,4,q34.3,ENSG00000251742,ENSG00000251742.1
TENM3,183065140.0,183724177.0,4,4q34.3,4q,4,q34.3,ENSG00000218336,ENSG00000218336.3
MIR1305,183090446.0,183090531.0,4,4q34.3,4q,4,q34.3,ENSG00000221227,ENSG00000221227.1
DCTD,183811213.0,183839089.0,4,4q35.1,4q,4,q35.1,ENSG00000129187,ENSG00000129187.10
FAM92A1P2,183958818.0,183961272.0,4,4q35.1,4q,4,q35.1,ENSG00000230219,ENSG00000230219.3
RN7SKP67,183552607.0,183552841.0,4,4q35.1,4q,4,q35.1,ENSG00000251714,ENSG00000251714.1
U3|ENSG00000252048.1,184097914.0,184098084.0,4,4q35.1,4q,4,q35.1,ENSG00000252048,ENSG00000252048.1
WWC2,184020446.0,184241930.0,4,4q35.1,4q,4,q35.1,ENSG00000151718,ENSG00000151718.11
snoU13|ENSG00000238319.1,184195614.0,184195717.0,4,4q35.1,4q,4,q35.1,ENSG00000238319,ENSG00000238319.1
CLDN22,184239220.0,184241927.0,4,4q35.1,4q,4,q35.1,ENSG00000177300,ENSG00000177300.5
CLDN24,184242917.0,184243579.0,4,4q35.1,4q,4,q35.1,ENSG00000185758,ENSG00000185758.7
snoU13|ENSG00000238596.1,184250451.0,184250554.0,4,4q35.1,4q,4,q35.1,ENSG00000238596,ENSG00000238596.1
CDKN2AIP,184365744.0,184369351.0,4,4q35.1,4q,4,q35.1,ENSG00000168564,ENSG00000168564.5
ING2,184426147.0,184432249.0,4,4q35.1,4q,4,q35.1,ENSG00000168556,ENSG00000168556.5
snoU13|ENSG00000239116.1,184503348.0,184503454.0,4,4q35.1,4q,4,q35.1,ENSG00000239116,ENSG00000239116.1
ENPP6,185009859.0,185142383.0,4,4q35.1,4q,4,q35.1,ENSG00000164303,ENSG00000164303.6
RWDD4,184560788.0,184580378.0,4,4q35.1,4q,4,q35.1,ENSG00000182552,ENSG00000182552.10
STOX2,184774584.0,184944679.0,4,4q35.1,4q,4,q35.1,ENSG00000173320,ENSG00000173320.5
TRAPPC11,184580420.0,184634745.0,4,4q35.1,4q,4,q35.1,ENSG00000168538,ENSG00000168538.11
RN7SL28P,185200089.0,185200384.0,4,4q35.1,4q,4,q35.1,ENSG00000244512,ENSG00000244512.2
IRF2,185308867.0,185395734.0,4,4q35.1,4q,4,q35.1,ENSG00000168310,ENSG00000168310.6
SNORD79,185353120.0,185353203.0,4,4q35.1,4q,4,q35.1,ENSG00000251878,ENSG00000251878.1
CASP3,185548850.0,185570663.0,4,4q35.1,4q,4,q35.1,ENSG00000164305,ENSG00000164305.13
CCDC111,185570767.0,185616117.0,4,4q35.1,4q,4,q35.1,ENSG00000164306,ENSG00000164306.6
MLF1IP,185615772.0,185655287.0,4,4q35.1,4q,4,q35.1,ENSG00000151725,ENSG00000151725.7
ACSL1,185676749.0,185747972.0,4,4q35.1,4q,4,q35.1,ENSG00000151726,ENSG00000151726.9
HELT,185939995.0,185941958.0,4,4q35.1,4q,4,q35.1,ENSG00000187821,ENSG00000187821.4
KIAA1430,186080819.0,186130658.0,4,4q35.1,4q,4,q35.1,ENSG00000164323,ENSG00000164323.8
LRP2BP,186285032.0,186317053.0,4,4q35.1,4q,4,q35.1,ENSG00000109771,ENSG00000109771.11
MIR3945,185772167.0,185772264.0,4,4q35.1,4q,4,q35.1,ENSG00000266698,ENSG00000266698.1
MIR4455,185859537.0,185859594.0,4,4q35.1,4q,4,q35.1,ENSG00000263458,ENSG00000263458.1
SLC25A4,186064395.0,186071536.0,4,4q35.1,4q,4,q35.1,ENSG00000151729,ENSG00000151729.6
SNX25,186125391.0,186291339.0,4,4q35.1,4q,4,q35.1,ENSG00000109762,ENSG00000109762.11
ANKRD37,186317175.0,186321782.0,4,4q35.1,4q,4,q35.1,ENSG00000186352,ENSG00000186352.4
UFSP2,186320694.0,186347139.0,4,4q35.1,4q,4,q35.1,ENSG00000109775,ENSG00000109775.6
C4orf47,186347394.0,186370980.0,4,4q35.1,4q,4,q35.1,ENSG00000205129,ENSG00000205129.4
CCDC110,186366336.0,186392913.0,4,4q35.1,4q,4,q35.1,ENSG00000168491,ENSG00000168491.5
PDLIM3,186422851.0,186456766.0,4,4q35.1,4q,4,q35.1,ENSG00000154553,ENSG00000154553.9
SORBS2,186506598.0,186877806.0,4,4q35.1,4q,4,q35.1,ENSG00000154556,ENSG00000154556.13
snoU13|ENSG00000239034.1,186867237.0,186867340.0,4,4q35.1,4q,4,q35.1,ENSG00000239034,ENSG00000239034.1
TLR3,186990306.0,187009223.0,4,4q35.1,4q,4,q35.1,ENSG00000164342,ENSG00000164342.8
FAM149A,187025573.0,187093821.0,4,4q35.1,4q,4,q35.1,ENSG00000109794,ENSG00000109794.9
SNORA31|ENSG00000253013.1,187051175.0,187051309.0,4,4q35.1,4q,4,q35.1,ENSG00000253013,ENSG00000253013.1
CYP4V2,187112674.0,187134610.0,4,4q35.2,4q,4,q35.2,ENSG00000145476,ENSG00000145476.11
KLKB1,187130133.0,187179625.0,4,4q35.2,4q,4,q35.2,ENSG00000164344,ENSG00000164344.11
F11,187187099.0,187210835.0,4,4q35.2,4q,4,q35.2,ENSG00000088926,ENSG00000088926.9
MTNR1A,187454809.0,187476721.0,4,4q35.2,4q,4,q35.2,ENSG00000168412,ENSG00000168412.6
FAT1,187508937.0,187647876.0,4,4q35.2,4q,4,q35.2,ENSG00000083857,ENSG00000083857.9
DUX4L2,191011860.0,191013719.0,4,4q35.2,4q,4,q35.2,ENSG00000259128,ENSG00000259128.1
DUX4L3,191008560.0,191010370.0,4,4q35.2,4q,4,q35.2,ENSG00000259034,ENSG00000259034.2
DUX4L4,191001979.0,191003777.0,4,4q35.2,4q,4,q35.2,ENSG00000258834,ENSG00000258834.2
DUX4L5,190998673.0,191000532.0,4,4q35.2,4q,4,q35.2,ENSG00000259063,ENSG00000259063.2
DUX4L6,190995380.0,190997190.0,4,4q35.2,4q,4,q35.2,ENSG00000258697,ENSG00000258697.2
DUX4L7,190992087.0,190993897.0,4,4q35.2,4q,4,q35.2,ENSG00000258755,ENSG00000258755.3
DUX4,191005267.0,191007077.0,4,4q35.2,4q,4,q35.2,ENSG00000258389,ENSG00000258389.2
FRG1,190861943.0,190884359.0,4,4q35.2,4q,4,q35.2,ENSG00000109536,ENSG00000109536.7
FRG2,190945506.0,190948412.0,4,4q35.2,4q,4,q35.2,ENSG00000205097,ENSG00000205097.2
HSP90AA4P,190394119.0,190396346.0,4,4q35.2,4q,4,q35.2,ENSG00000205100,ENSG00000205100.2
RNA5SP174,190936293.0,190936410.0,4,4q35.2,4q,4,q35.2,ENSG00000199572,ENSG00000199572.1
RNA5SP175,190938851.0,190938969.0,4,4q35.2,4q,4,q35.2,ENSG00000201145,ENSG00000201145.1
