Gene Symbol,Locus ID,Cytoband,chr,chr_arm
TRIM43B,653192,2q11.1,2,2q
TRIM43,129868,2q11.1,2,2q
LOC729234,729234,2q11.1,2,2q
GPAT2,150763,2q11.1,2,2q
ADRA2B,151,2q11.1,2,2q
ASTL,431705,2q11.1,2,2q
DUSP2,1844,2q11.2,2,2q
STARD7,56910,2q11.2,2,2q
LOC285033,285033,2q11.2,2,2q
TMEM127,55654,2q11.2,2,2q
CIAO1,9391,2q11.2,2,2q
SNRNP200,23020,2q11.2,2,2q
ITPRIPL1,150771,2q11.2,2,2q
NCAPH,23397,2q11.2,2,2q
NEURL3,93082,2q11.2,2,2q
ARID5A,10865,2q11.2,2,2q
KANSL3,55683,2q11.2,2,2q
FER1L5,90342,2q11.2,2,2q
LMAN2L,81562,2q11.2,2,2q
CNNM4,26504,2q11.2,2,2q
MIR3127,100422928,2q11.2,2,2q
hsa-mir-3127,-1328,2q11.2,2,2q
CNNM3,26505,2q11.2,2,2q
ANKRD23,200539,2q11.2,2,2q
ANKRD39,51239,2q11.2,2,2q
SEMA4C,54910,2q11.2,2,2q
FAM178B,51252,2q11.2,2,2q
FAHD2B,151313,2q11.2,2,2q
ANKRD36,375248,2q11.2,2,2q
LOC100506123,100506123,2q11.2,2,2q
ANKRD36B,57730,2q11.2,2,2q
COX5B,1329,2q11.2,2,2q
ACTR1B,10120,2q11.2,2,2q
LOC728537,728537,2q11.2,2,2q
ZAP70,7535,2q11.2,2,2q
TMEM131,23505,2q11.2,2,2q
VWA3B,200403,2q11.2,2,2q
CNGA3,1261,2q11.2,2,2q
INPP4A,3631,2q11.2,2,2q
COA5,493753,2q11.2,2,2q
UNC50,25972,2q11.2,2,2q
MGAT4A,11320,2q11.2,2,2q
C2orf55,343990,2q11.2,2,2q
TSGA10,80705,2q11.2,2,2q
C2orf15,150590,2q11.2,2,2q
LIPT1,51601,2q11.2,2,2q
MITD1,129531,2q11.2,2,2q
MRPL30,51263,2q11.2,2,2q
LYG2,254773,2q11.2,2,2q
LYG1,129530,2q11.2,2,2q
TXNDC9,10190,2q11.2,2,2q
EIF5B,9669,2q11.2,2,2q
REV1,51455,2q11.2,2,2q
AFF3,3899,2q11.2,2,2q
LONRF2,164832,2q11.2,2,2q
CHST10,9486,2q11.2,2,2q
NMS,129521,2q11.2,2,2q
PDCL3,79031,2q11.2,2,2q
NPAS2,4862,2q11.2,2,2q
RPL31,6160,2q11.2,2,2q
TBC1D8,11138,2q11.2,2,2q
C2orf29,55571,2q11.2,2,2q
RNF149,284996,2q11.2,2,2q
SNORD89,692205,2q11.2,2,2q
CREG2,200407,2q11.2,2,2q
RFX8,731220,2q11.2,2,2q
MAP4K4,9448,2q11.2,2,2q
IL1R2,7850,2q11.2,2,2q
IL1R1,3554,2q12.1,2,2q
IL1RL2,8808,2q12.1,2,2q
IL1RL1,9173,2q12.1,2,2q
IL18R1,8809,2q12.1,2,2q
IL18RAP,8807,2q12.1,2,2q
MIR4772,100616157,2q12.1,2,2q
SLC9A4,389015,2q12.1,2,2q
SLC9A2,6549,2q12.1,2,2q
MFSD9,84804,2q12.1,2,2q
TMEM182,130827,2q12.1,2,2q
LOC100287010,100287010,2q12.1,2,2q
LOC150568,150568,2q12.1,2,2q
LOC284998,284998,2q12.1,2,2q
LOC100506421,100506421,2q12.1,2,2q
POU3F3,5455,2q12.1,2,2q
MRPS9,64965,2q12.1,2,2q
GPR45,11250,2q12.1,2,2q
TGFBRAP1,9392,2q12.1,2,2q
C2orf49,79074,2q12.1,2,2q
FHL2,2274,2q12.1,2,2q
LOC285000,285000,2q12.2,2,2q
NCK2,8440,2q12.2,2,2q
C2orf40,84417,2q12.2,2,2q
UXS1,80146,2q12.2,2,2q
PLGLA,285189,2q12.2,2,2q
RGPD3,653489,2q12.2,2,2q
ST6GAL2,84620,2q12.2,2,2q
LOC729121,729121,2q12.3,2,2q
RGPD4,285190,2q12.3,2,2q
SLC5A7,60482,2q12.3,2,2q
SULT1C3,442038,2q12.3,2,2q
SULT1C2,6819,2q12.3,2,2q
SULT1C2P1,151234,2q12.3,2,2q
SULT1C4,27233,2q12.3,2,2q
GCC2,9648,2q12.3,2,2q
LIMS1,3987,2q12.3,2,2q
RANBP2,5903,2q12.3,2,2q
CCDC138,165055,2q12.3,2,2q
EDAR,10913,2q12.3,2,2q
LOC100287216,100287216,2q12.3,2,2q
SH3RF3,344558,2q12.3,2,2q
MIR4265,100422863,2q12.3,2,2q
hsa-mir-4265,-1422,2q12.3,2,2q
MIR4266,100423027,2q12.3,2,2q
hsa-mir-4266,-1423,2q12.3,2,2q
SEPT10,151011,2q13,2,2q
SOWAHC,65124,2q13,2,2q
RGPD5,84220,2q13,2,2q
RGPD6,729540,2q13,2,2q
LIMS3-LOC440895,100271835,2q13,2,2q
LIMS3L,100288695,2q13,2,2q
LIMS3,96626,2q13,2,2q
LOC100288570,100288570,2q13,2,2q
LOC440895,440895,2q13,2,2q
LOC440894,440894,2q13,2,2q
MIR4267,100422994,2q13,2,2q
hsa-mir-4267,-1430,2q13,2,2q
MALL,7851,2q13,2,2q
MIR4436B1,100616123,2q13,2,2q
NPHP1,4867,2q13,2,2q
LINC00116,205251,2q13,2,2q
LOC100507334,100507334,2q13,2,2q
LOC151009,151009,2q13,2,2q
BUB1,699,2q13,2,2q
ACOXL,55289,2q13,2,2q
BCL2L11,10018,2q13,2,2q
LOC541471,541471,2q13,2,2q
ANAPC1,64682,2q13,2,2q
MERTK,10461,2q13,2,2q
TMEM87B,84910,2q13,2,2q
FBLN7,129804,2q13,2,2q
ZC3H8,84524,2q13,2,2q
ZC3H6,376940,2q13,2,2q
RGPD8,727851,2q13,2,2q
TTL|chr2,150465,2q13,2,2q
POLR1B,84172,2q13,2,2q
CHCHD5,84269,2q13,2,2q
FLJ42351,400999,2q13,2,2q
SLC20A1,6574,2q13,2,2q
CKAP2L,150468,2q13,2,2q
IL1A,3552,2q13,2,2q
IL1B,3553,2q13,2,2q
IL37,27178,2q13,2,2q
IL36G,56300,2q13,2,2q
IL36A,27179,2q13,2,2q
IL36B,27177,2q13,2,2q
IL36RN,26525,2q13,2,2q
IL1F10,84639,2q13,2,2q
IL1RN,3557,2q13,2,2q
PSD4,23550,2q13,2,2q
PAX8,7849,2q13,2,2q
LOC654433,654433,2q13,2,2q
CBWD2,150472,2q13,2,2q
FOXD4L1,200350,2q13,2,2q
FAM138B,654412,2q13,2,2q
WASH2P,375260,2q13,2,2q
hsa-mir-1302-3,-1457,2q13,2,2q
DDX11L2,84771,2q13,2,2q
RPL23AP7,118433,2q13,2,2q
RABL2A,11159,2q13,2,2q
SLC35F5,80255,2q14.1,2,2q
MIR4782,100616208,2q14.1,2,2q
ACTR3,10096,2q14.1,2,2q
LOC100499194,100499194,2q14.1,2,2q
LOC440900,440900,2q14.1,2,2q
DPP10,57628,2q14.1,2,2q
LOC389023,389023,2q14.1,2,2q
DDX18,8886,2q14.1,2,2q
CCDC93,54520,2q14.1,2,2q
INSIG2,51141,2q14.2,2,2q
EN1,2019,2q14.2,2,2q
MARCO,8685,2q14.2,2,2q
C1QL2,165257,2q14.2,2,2q
STEAP3,55240,2q14.2,2,2q
C2orf76,130355,2q14.2,2,2q
DBI,1622,2q14.2,2,2q
TMEM37,140738,2q14.2,2,2q
SCTR,6344,2q14.2,2,2q
PCDP1,200373,2q14.2,2,2q
TMEM177,80775,2q14.2,2,2q
PTPN4,5775,2q14.2,2,2q
EPB41L5,57669,2q14.2,2,2q
TMEM185B,79134,2q14.2,2,2q
RALB,5899,2q14.2,2,2q
INHBB,3625,2q14.2,2,2q
LOC84931,84931,2q14.2,2,2q
GLI2,2736,2q14.2,2,2q
TFCP2L1,29842,2q14.2,2,2q
CLASP1,23332,2q14.2,2,2q
RNU4ATAC,100151683,2q14.2,2,2q
LOC254128,254128,2q14.3,2,2q
MKI67IP,84365,2q14.3,2,2q
TSN,7247,2q14.3,2,2q
CNTNAP5,129684,2q14.3,2,2q
GYPC,2995,2q14.3,2,2q
BIN1,274,2q14.3,2,2q
CYP27C1,339761,2q14.3,2,2q
ERCC3,2071,2q14.3,2,2q
MAP3K2,10746,2q14.3,2,2q
PROC,5624,2q14.3,2,2q
MIR4783,100616187,2q14.3,2,2q
IWS1,55677,2q14.3,2,2q
MYO7B,4648,2q14.3,2,2q
LIMS2,55679,2q14.3,2,2q
GPR17,2840,2q14.3,2,2q
SFT2D3,84826,2q14.3,2,2q
WDR33,55339,2q14.3,2,2q
POLR2D,5433,2q14.3,2,2q
AMMECR1L,83607,2q14.3,2,2q
SAP130,79595,2q14.3,2,2q
UGGT1,56886,2q14.3,2,2q
HS6ST1,9394,2q14.3,2,2q
LOC389033,389033,2q21.1,2,2q
LOC100131320,100131320,2q21.1,2,2q
RAB6C,84084,2q21.1,2,2q
LOC440905,440905,2q21.1,2,2q
POTEF,728378,2q21.1,2,2q
LOC285103,285103,2q21.1,2,2q
CCDC74B,91409,2q21.1,2,2q
SMPD4,55627,2q21.1,2,2q
MZT2B,80097,2q21.1,2,2q
TUBA3E,112714,2q21.1,2,2q
CCDC115,84317,2q21.1,2,2q
IMP4,92856,2q21.1,2,2q
PTPN18,26469,2q21.1,2,2q
LOC100216479,100216479,2q21.1,2,2q
CFC1B,653275,2q21.1,2,2q
CFC1,55997,2q21.1,2,2q
LOC150527,150527,2q21.1,2,2q
LOC646743,646743,2q21.1,2,2q
TISP43,150527,2q21.1,2,2q
CYP4F30P,100132708,2q21.1,2,2q
GPR148,344561,2q21.1,2,2q
FAM123C,205147,2q21.1,2,2q
ARHGEF4,50649,2q21.1,2,2q
FAM168B,130074,2q21.1,2,2q
PLEKHB2,55041,2q21.1,2,2q
POTEE,445582,2q21.1,2,2q
LOC440910,440910,2q21.1,2,2q
WTH3DI,150786,2q21.1,2,2q
LOC389043,389043,2q21.1,2,2q
LOC401010,401010,2q21.1,2,2q
TUBA3D,113457,2q21.1,2,2q
MZT2A,653784,2q21.1,2,2q
LOC150776,150776,2q21.1,2,2q
MIR4784,100616378,2q21.1,2,2q
CCDC74A,90557,2q21.1,2,2q
POTEKP,440915,2q21.1,2,2q
C2orf27A,29798,2q21.1,2,2q
C2orf27B,408029,2q21.2,2,2q
ANKRD30BL,554226,2q21.2,2,2q
MIR663B,100313824,2q21.2,2,2q
hsa-mir-663b,-1599,2q21.2,2,2q
GPR39,2863,2q21.2,2,2q
LYPD1,116372,2q21.2,2,2q
NCKAP5,344148,2q21.2,2,2q
MIR3679,100500878,2q21.2,2,2q
MGAT5,4249,2q21.2,2,2q
TMEM163,81615,2q21.3,2,2q
ACMSD,130013,2q21.3,2,2q
LOC100129961,100129961,2q21.3,2,2q
CCNT2,905,2q21.3,2,2q
YSK4,80122,2q21.3,2,2q
RAB3GAP1,22930,2q21.3,2,2q
ZRANB3,84083,2q21.3,2,2q
R3HDM1,23518,2q21.3,2,2q
MIR128-1,406915,2q21.3,2,2q
hsa-mir-128-1,-1625,2q21.3,2,2q
UBXN4,23190,2q21.3,2,2q
LCT,3938,2q21.3,2,2q
LOC100507600,100507600,2q21.3,2,2q
MCM6,4175,2q21.3,2,2q
DARS,1615,2q21.3,2,2q
CXCR4,7852,2q22.1,2,2q
THSD7B,80731,2q22.1,2,2q
HNMT,3176,2q22.1,2,2q
SPOPL,339745,2q22.1,2,2q
NXPH2,11249,2q22.1,2,2q
LOC647012,647012,2q22.1,2,2q
LRP1B,53353,2q22.1,2,2q
KYNU,8942,2q22.2,2,2q
ARHGAP15,55843,2q22.2,2,2q
GTDC1,79712,2q22.3,2,2q
ZEB2,9839,2q22.3,2,2q
ZEB2-AS1,100303491,2q22.3,2,2q
DKFZp686O1327,401014,2q22.3,2,2q
PABPC1P2,728773,2q22.3,2,2q
ACVR2A,92,2q22.3,2,2q
ORC4,5000,2q22.3,2,2q
MBD5,55777,2q23.1,2,2q
EPC2,26122,2q23.1,2,2q
KIF5C,3800,2q23.1,2,2q
LYPD6B,130576,2q23.1,2,2q
LYPD6,130574,2q23.2,2,2q
MMADHC,27249,2q23.2,2,2q
RND3,390,2q23.3,2,2q
RBM43,375287,2q23.3,2,2q
NMI,9111,2q23.3,2,2q
TNFAIP6,7130,2q23.3,2,2q
MIR4773-1,100616392,2q23.3,2,2q
MIR4773-2,100616418,2q23.3,2,2q
RIF1,55183,2q23.3,2,2q
NEB,4703,2q23.3,2,2q
ARL5A,26225,2q23.3,2,2q
CACNB4,785,2q23.3,2,2q
STAM2,10254,2q23.3,2,2q
FMNL2,114793,2q23.3,2,2q
PRPF40A,55660,2q23.3,2,2q
ARL6IP6,151188,2q23.3,2,2q
RPRM,56475,2q23.3,2,2q
GALNT13,114805,2q23.3,2,2q
LOC100144595,100144595,2q24.1,2,2q
KCNJ3,3760,2q24.1,2,2q
NR4A2,4929,2q24.1,2,2q
GPD2,2820,2q24.1,2,2q
GALNT5,11227,2q24.1,2,2q
ERMN,57471,2q24.1,2,2q
CYTIP,9595,2q24.1,2,2q
ACVR1C,130399,2q24.1,2,2q
ACVR1,90,2q24.1,2,2q
UPP2,151531,2q24.1,2,2q
LOC554201,554201,2q24.1,2,2q
CCDC148,130940,2q24.1,2,2q
PKP4,8502,2q24.1,2,2q
DAPL1,92196,2q24.1,2,2q
TANC1,85461,2q24.2,2,2q
WDSUB1,151525,2q24.2,2,2q
BAZ2B,29994,2q24.2,2,2q
MARCH7,64844,2q24.2,2,2q
CD302,9936,2q24.2,2,2q
LY75-CD302,100526664,2q24.2,2,2q
LY75,4065,2q24.2,2,2q
PLA2R1,22925,2q24.2,2,2q
ITGB6,3694,2q24.2,2,2q
RBMS1,5937,2q24.2,2,2q
MIR4785,100616364,2q24.2,2,2q
TANK,10010,2q24.2,2,2q
PSMD14,10213,2q24.2,2,2q
TBR1,10716,2q24.2,2,2q
SLC4A10,57282,2q24.2,2,2q
DPP4,1803,2q24.2,2,2q
GCG,2641,2q24.2,2,2q
FAP,2191,2q24.2,2,2q
IFIH1,64135,2q24.2,2,2q
GCA,25801,2q24.2,2,2q
KCNH7,90134,2q24.2,2,2q
FIGN,55137,2q24.3,2,2q
GRB14,2888,2q24.3,2,2q
COBLL1,22837,2q24.3,2,2q
SNORA70F,100337591,2q24.3,2,2q
SLC38A11,151258,2q24.3,2,2q
SCN3A,6328,2q24.3,2,2q
SCN2A,6326,2q24.3,2,2q
CSRNP3,80034,2q24.3,2,2q
GALNT3,2591,2q24.3,2,2q
LOC100506124,100506124,2q24.3,2,2q
TTC21B,79809,2q24.3,2,2q
LOC100506134,100506134,2q24.3,2,2q
SCN1A,6323,2q24.3,2,2q
SCN9A,6335,2q24.3,2,2q
SCN7A,6332,2q24.3,2,2q
XIRP2,129446,2q24.3,2,2q
B3GALT1,8708,2q24.3,2,2q
STK39,27347,2q24.3,2,2q
CERS6,253782,2q24.3,2,2q
MIR4774,100616356,2q24.3,2,2q
LOC100861402,100861402,2q24.3,2,2q
NOSTRIN,115677,2q24.3,2,2q
SPC25,57405,2q31.1,2,2q
G6PC2,57818,2q31.1,2,2q
ABCB11,8647,2q31.1,2,2q
DHRS9,10170,2q31.1,2,2q
LRP2,4036,2q31.1,2,2q
BBS5,129880,2q31.1,2,2q
KBTBD10,10324,2q31.1,2,2q
FASTKD1,79675,2q31.1,2,2q
PPIG,9360,2q31.1,2,2q
C2orf77,129881,2q31.1,2,2q
PHOSPHO2-KLHL23,100526832,2q31.1,2,2q
PHOSPHO2,493911,2q31.1,2,2q
KLHL23,151230,2q31.1,2,2q
SSB,6741,2q31.1,2,2q
METTL5,29081,2q31.1,2,2q
UBR3,130507,2q31.1,2,2q
MYO3B,140469,2q31.1,2,2q
LOC440925,440925,2q31.1,2,2q
SP5,389058,2q31.1,2,2q
LOC100505695,100505695,2q31.1,2,2q
GAD1,2571,2q31.1,2,2q
GORASP2,26003,2q31.1,2,2q
TLK1,9874,2q31.1,2,2q
METTL8,79828,2q31.1,2,2q
DCAF17,80067,2q31.1,2,2q
CYBRD1,79901,2q31.1,2,2q
DYNC1I2,1781,2q31.1,2,2q
SLC25A12,8604,2q31.1,2,2q
HAT1,8520,2q31.1,2,2q
METAP1D,254042,2q31.1,2,2q
DLX1,1745,2q31.1,2,2q
DLX2,1746,2q31.1,2,2q
ITGA6,3655,2q31.1,2,2q
PDK1,5163,2q31.1,2,2q
LOC91149,91149,2q31.1,2,2q
RAPGEF4,11069,2q31.1,2,2q
ZAK,51776,2q31.1,2,2q
MLK7-AS1,339751,2q31.1,2,2q
CDCA7,83879,2q31.1,2,2q
SP3,6670,2q31.1,2,2q
OLA1,29789,2q31.1,2,2q
LOC285084,285084,2q31.1,2,2q
SP9,100131390,2q31.1,2,2q
CIR1,9541,2q31.1,2,2q
SCRN3,79634,2q31.1,2,2q
GPR155,151556,2q31.1,2,2q
WIPF1,7456,2q31.1,2,2q
CHRNA1,1134,2q31.1,2,2q
CHN1,1123,2q31.1,2,2q
ATF2,1386,2q31.1,2,2q
MIR933,100126350,2q31.1,2,2q
hsa-mir-933,-1928,2q31.1,2,2q
ATP5G3,518,2q31.1,2,2q
KIAA1715,80856,2q31.1,2,2q
EVX2,344191,2q31.1,2,2q
HOXD13,3239,2q31.1,2,2q
HOXD12,3238,2q31.1,2,2q
HOXD11,3237,2q31.1,2,2q
HOXD10,3236,2q31.1,2,2q
HOXD9,3235,2q31.1,2,2q
HOXD8,3234,2q31.1,2,2q
LOC100506783,100506783,2q31.1,2,2q
HOXD4,3233,2q31.1,2,2q
MIR10B,406903,2q31.1,2,2q
hsa-mir-10b,-1935,2q31.1,2,2q
HOXD3,3232,2q31.1,2,2q
LOC401022,401022,2q31.1,2,2q
HOXD1,3231,2q31.1,2,2q
MTX2,10651,2q31.1,2,2q
MIR1246,100302142,2q31.1,2,2q
hsa-mir-1246,-1938,2q31.1,2,2q
LOC375295,375295,2q31.1,2,2q
HNRNPA3,220988,2q31.2,2,2q
MIR4444-1|chr2,100616394,2q31.2,2,2q
NFE2L2,4780,2q31.2,2,2q
MIR3128,100422824,2q31.2,2,2q
hsa-mir-3128,-1943,2q31.2,2,2q
LOC100130691,100130691,2q31.2,2,2q
AGPS,8540,2q31.2,2,2q
TTC30B,150737,2q31.2,2,2q
TTC30A,92104,2q31.2,2,2q
PDE11A,50940,2q31.2,2,2q
RBM45,129831,2q31.2,2,2q
OSBPL6,114880,2q31.2,2,2q
MIR548N,100302152,2q31.2,2,2q
PRKRA,8575,2q31.2,2,2q
DFNB59,494513,2q31.2,2,2q
FKBP7,51661,2q31.2,2,2q
PLEKHA3,65977,2q31.2,2,2q
LOC100506866,100506866,2q31.2,2,2q
TTN,7273,2q31.2,2,2q
CCDC141,285025,2q31.2,2,2q
SESTD1,91404,2q31.2,2,2q
ZNF385B,151126,2q31.2,2,2q
MIR1258,100302172,2q31.3,2,2q
hsa-mir-1258,-1963,2q31.3,2,2q
CWC22,57703,2q31.3,2,2q
UBE2E3,10477,2q31.3,2,2q
MIR4437,100616213,2q31.3,2,2q
ITGA4,3676,2q31.3,2,2q
CERKL,375298,2q31.3,2,2q
NEUROD1,4760,2q31.3,2,2q
SSFA2,6744,2q31.3,2,2q
PPP1R1C,151242,2q31.3,2,2q
PDE1A,5136,2q32.1,2,2q
DNAJC10,54431,2q32.1,2,2q
FRZB,2487,2q32.1,2,2q
NCKAP1,10787,2q32.1,2,2q
DUSP19,142679,2q32.1,2,2q
NUP35,129401,2q32.1,2,2q
ZNF804A,91752,2q32.1,2,2q
FSIP2,401024,2q32.1,2,2q
ZC3H15,55854,2q32.1,2,2q
ITGAV,3685,2q32.1,2,2q
FAM171B,165215,2q32.1,2,2q
ZSWIM2,151112,2q32.1,2,2q
CALCRL,10203,2q32.1,2,2q
TFPI,7035,2q32.1,2,2q
GULP1,51454,2q32.1,2,2q
MIR561,693146,2q32.1,2,2q
hsa-mir-561,-2028,2q32.1,2,2q
DIRC1,116093,2q32.2,2,2q
COL3A1,1281,2q32.2,2,2q
MIR1245A,100302219,2q32.2,2,2q
MIR1245B,100616324,2q32.2,2,2q
hsa-mir-1245,-2033,2q32.2,2,2q
MIR3606,100500837,2q32.2,2,2q
COL5A2,1290,2q32.2,2,2q
MIR3129,100422908,2q32.2,2,2q
hsa-mir-3129,-2034,2q32.2,2,2q
WDR75,84128,2q32.2,2,2q
SLC40A1,30061,2q32.2,2,2q
ASNSD1,54529,2q32.2,2,2q
ANKAR,150709,2q32.2,2,2q
OSGEPL1,64172,2q32.2,2,2q
ORMDL1,94101,2q32.2,2,2q
PMS1,5378,2q32.2,2,2q
MSTN,2660,2q32.2,2,2q
C2orf88,84281,2q32.2,2,2q
HIBCH,26275,2q32.2,2,2q
INPP1,3628,2q32.2,2,2q
MFSD6,54842,2q32.2,2,2q
TMEM194B,100131211,2q32.2,2,2q
NAB1,4664,2q32.2,2,2q
GLS,2744,2q32.2,2,2q
STAT1,6772,2q32.2,2,2q
STAT4,6775,2q32.2,2,2q
MYO1B,4430,2q32.3,2,2q
OBFC2A,64859,2q32.3,2,2q
SDPR,8436,2q32.3,2,2q
TMEFF2,23671,2q32.3,2,2q
PCGEM1,64002,2q32.3,2,2q
SLC39A10,57181,2q32.3,2,2q
DNAH7,56171,2q32.3,2,2q
STK17B,9262,2q32.3,2,2q
HECW2,57520,2q32.3,2,2q
CCDC150,284992,2q33.1,2,2q
LOC100130452,100130452,2q33.1,2,2q
GTF3C3,9330,2q33.1,2,2q
C2orf66,401027,2q33.1,2,2q
PGAP1,80055,2q33.1,2,2q
ANKRD44,91526,2q33.1,2,2q
SF3B1,23451,2q33.1,2,2q
COQ10B,80219,2q33.1,2,2q
HSPD1,3329,2q33.1,2,2q
HSPE1-MOB4,100529241,2q33.1,2,2q
HSPE1,3336,2q33.1,2,2q
MOB4,25843,2q33.1,2,2q
RFTN2,130132,2q33.1,2,2q
MARS2,92935,2q33.1,2,2q
BOLL,66037,2q33.1,2,2q
PLCL1,5334,2q33.1,2,2q
SATB2,23314,2q33.1,2,2q
FLJ32063,150538,2q33.1,2,2q
FONG,348751,2q33.1,2,2q
C2orf69,205327,2q33.1,2,2q
TYW5,129450,2q33.1,2,2q
C2orf47,79568,2q33.1,2,2q
SPATS2L,26010,2q33.1,2,2q
KCTD18,130535,2q33.1,2,2q
SGOL2,151246,2q33.1,2,2q
AOX1,316,2q33.1,2,2q
AOX2P,344454,2q33.1,2,2q
LOC100507140,100507140,2q33.1,2,2q
BZW1,9689,2q33.1,2,2q
CLK1,1195,2q33.1,2,2q
PPIL3,53938,2q33.1,2,2q
NIF3L1,60491,2q33.1,2,2q
ORC2,4999,2q33.1,2,2q
FAM126B,285172,2q33.1,2,2q
NDUFB3,4709,2q33.1,2,2q
CFLAR,8837,2q33.1,2,2q
CFLAR-AS1,65072,2q33.1,2,2q
CASP10,843,2q33.1,2,2q
CASP8,841,2q33.1,2,2q
ALS2CR12,130540,2q33.1,2,2q
TRAK2,66008,2q33.1,2,2q
STRADB,55437,2q33.1,2,2q
ALS2CR11,151254,2q33.1,2,2q
TMEM237,65062,2q33.1,2,2q
MPP4,58538,2q33.1,2,2q
ALS2,57679,2q33.1,2,2q
CDK15,65061,2q33.1,2,2q
FZD7,8324,2q33.1,2,2q
SUMO1,7341,2q33.1,2,2q
NOP58,51602,2q33.1,2,2q
SNORD70,692110,2q33.1,2,2q
SNORD11B,100113392,2q33.1,2,2q
SNORD11,692058,2q33.1,2,2q
BMPR2,659,2q33.1,2,2q
FAM117B,150864,2q33.2,2,2q
ICA1L,130026,2q33.2,2,2q
WDR12,55759,2q33.2,2,2q
ALS2CR8,79800,2q33.2,2,2q
NBEAL1,65065,2q33.2,2,2q
CYP20A1,57404,2q33.2,2,2q
ABI2,10152,2q33.2,2,2q
RAPH1,65059,2q33.2,2,2q
CD28,940,2q33.2,2,2q
CTLA4,1493,2q33.2,2,2q
ICOS,29851,2q33.2,2,2q
PARD3B,117583,2q33.3,2,2q
NRP2,8828,2q33.3,2,2q
INO80D,54891,2q33.3,2,2q
LOC100329109,100329109,2q33.3,2,2q
NDUFS1,4719,2q33.3,2,2q
EEF1B2,1933,2q33.3,2,2q
SNORA41,619569,2q33.3,2,2q
SNORD51,26798,2q33.3,2,2q
GPR1,2825,2q33.3,2,2q
ZDBF2,57683,2q33.3,2,2q
ADAM23,8745,2q33.3,2,2q
LOC200726,200726,2q33.3,2,2q
DYTN,391475,2q33.3,2,2q
MDH1B,130752,2q33.3,2,2q
FASTKD2,22868,2q33.3,2,2q
MIR3130-1,100422993,2q33.3,2,2q
MIR3130-2,100423002,2q33.3,2,2q
hsa-mir-3130-1,-2169,2q33.3,2,2q
hsa-mir-3130-2,-2169,2q33.3,2,2q
hsa-mir-3130-3,-2169,2q33.3,2,2q
hsa-mir-3130-4,-2169,2q33.3,2,2q
CPO,130749,2q33.3,2,2q
KLF7,8609,2q33.3,2,2q
MIR2355,100423036,2q33.3,2,2q
hsa-mir-2355,-2171,2q33.3,2,2q
hsa-mir-1302-4,-2172,2q33.3,2,2q
CREB1,1385,2q33.3,2,2q
METTL21A,151194,2q33.3,2,2q
CCNYL1,151195,2q33.3,2,2q
MIR4775,100616361,2q33.3,2,2q
FZD5,7855,2q33.3,2,2q
PLEKHM3,389072,2q33.3,2,2q
CRYGD,1421,2q33.3,2,2q
LOC100507443,100507443,2q33.3,2,2q
CRYGC,1420,2q33.3,2,2q
CRYGB,1419,2q34,2,2q
C2orf80,389073,2q34,2,2q
CRYGA,1418,2q34,2,2q
IDH1,3417,2q34,2,2q
PIKFYVE,200576,2q34,2,2q
PTH2R,5746,2q34,2,2q
MAP2,4133,2q34,2,2q
UNC80,285175,2q34,2,2q
RPE,6120,2q34,2,2q
C2orf67,151050,2q34,2,2q
ACADL,33,2q34,2,2q
MYL1,4632,2q34,2,2q
LANCL1,10314,2q34,2,2q
CPS1,1373,2q34,2,2q
CPS1-IT1,29034,2q34,2,2q
ERBB4,2066,2q34,2,2q
MIR548F2,100313771,2q34,2,2q
hsa-mir-548f-2,-2212,2q34,2,2q
MIR4776-1,100616267,2q34,2,2q
MIR4776-2,100616472,2q34,2,2q
IKZF2,22807,2q34,2,2q
LOC100130451,100130451,2q34,2,2q
SPAG16,79582,2q34,2,2q
VWC2L,402117,2q34,2,2q
BARD1,580,2q35,2,2q
ABCA12,26154,2q35,2,2q
ATIC,471,2q35,2,2q
FN1,2335,2q35,2,2q
LOC646324,646324,2q35,2,2q
MREG,55686,2q35,2,2q
PECR,55825,2q35,2,2q
TMEM169,92691,2q35,2,2q
XRCC5,7520,2q35,2,2q
PKI55,150967,2q35,2,2q
MARCH4,57574,2q35,2,2q
SMARCAL1,50485,2q35,2,2q
RPL37A,6168,2q35,2,2q
IGFBP2,3485,2q35,2,2q
IGFBP5,3488,2q35,2,2q
TNP1,7141,2q35,2,2q
DIRC3,729582,2q35,2,2q
TNS1,7145,2q35,2,2q
RUFY4,285180,2q35,2,2q
CXCR2P1,3580,2q35,2,2q
CXCR2,3579,2q35,2,2q
CXCR1,3577,2q35,2,2q
ARPC2,10109,2q35,2,2q
AAMP,14,2q35,2,2q
GPBAR1,151306,2q35,2,2q
PNKD,25953,2q35,2,2q
TMBIM1,64114,2q35,2,2q
C2orf62,375307,2q35,2,2q
SLC11A1,6556,2q35,2,2q
CTDSP1,58190,2q35,2,2q
MIR26B,407017,2q35,2,2q
hsa-mir-26b,-2257,2q35,2,2q
VIL1,7429,2q35,2,2q
USP37,57695,2q35,2,2q
RQCD1,9125,2q35,2,2q
PLCD4,84812,2q35,2,2q
ZNF142,7701,2q35,2,2q
BCS1L,617,2q35,2,2q
RNF25,64320,2q35,2,2q
STK36,27148,2q35,2,2q
TTLL4,9654,2q35,2,2q
CYP27A1,1593,2q35,2,2q
PRKAG3,53632,2q35,2,2q
